Phenotype	Set	Threshold	PRS.R2	Full.R2	Null.R2	Prevalence	Coefficient	Standard.Error	P	Num_SNP	pheno	prs	test	PRSPheno	SampleSize	prs.test	MDD.R2	ratio
11	-	Base	0.2	0.000104934	0.000788274	0.00068334	-	-507.877	274.037	0.0638461	61816	abletoconfide.baseline	downsample.GPpsy.100k	1	GPpsy	DS_100K	downsample.GPpsy.100k:1	0.00424595	0.0247139038377748
12	-	Base	1	0.000354644	0.00130747	0.000952827	-	-1841	540.345	0.000657426	138489	abletoconfide.baseline	downsample.GPpsy.100k	2	GPpsy	DS_100K	downsample.GPpsy.100k:2	0.00405109	0.0875428588355233
13	-	Base	0.2	0.000264684	0.00120282	0.000938134	-	-812.355	275.75	0.00322153	61782	abletoconfide.baseline	downsample.GPpsy.100k	3	GPpsy	DS_100K	downsample.GPpsy.100k:3	0.00732879	0.036115648012837
14	-	Base	0.2	0.000203421	0.00139691	0.00119349	-	-715.427	276.75	0.00973923	61811	abletoconfide.baseline	downsample.GPpsy.100k	4	GPpsy	DS_100K	downsample.GPpsy.100k:4	0.0137051	0.01484272278203
15	-	Base	0.1	0.000255259	0.00109658	0.000841323	-	-573.807	198.389	0.00382643	38927	abletoconfide.baseline	downsample.GPpsy.100k	5	GPpsy	DS_100K	downsample.GPpsy.100k:5	0.00409426	0.0623455764900128
16	-	Base	0.1	0.000317528	0.00191275	0.00159522	-	-643.721	199.654	0.00126453	38738	abletoconfide.baseline	downsample.GPpsy.100k	6	GPpsy	DS_100K	downsample.GPpsy.100k:6	0.00534022	0.05945972263315
17	-	Base	0.5	0.000234341	0.00094366	0.000709318	-	-1157.45	417.829	0.00560624	105708	abletoconfide.baseline	downsample.GPpsy.100k	7	GPpsy	DS_100K	downsample.GPpsy.100k:7	0.00665526	0.0352113966997533
18	-	Base	0.001	0.000385122	0.00138218	0.000997058	-	-91.4583	25.7504	0.000383249	1107	abletoconfide.baseline	downsample.GPpsy.100k	8	GPpsy	DS_100K	downsample.GPpsy.100k:8	0.00896162	0.042974596110971
19	-	Base	0.1	0.000203458	0.00111097	0.000907514	-	-514.551	199.31	0.00983696	38759	abletoconfide.baseline	downsample.GPpsy.100k	9	GPpsy	DS_100K	downsample.GPpsy.100k:9	0.010661	0.0190843260482131
20	-	Base	0.4	2.16948e-05	0.00131158	0.00128989	-	-318.113	377.201	0.399038	93801	abletoconfide.baseline	downsample.GPpsy.100k	10	GPpsy	DS_100K	downsample.GPpsy.100k:10	0.00491321	0.00441560609051923
21	-	Base	0.2	9.39315e-06	0.000692733	0.00068334	-	-231.835	418.121	0.579262	60526	abletoconfide.baseline	downsample.SoftImpAll.50k	1	SoftImpAll	DS_50K	downsample.SoftImpAll.50k:1	0.00394024	0.0023839030109841
22	-	Base	0.001	0.000150206	0.00110303	0.000952827	-	-79.4165	35.8201	0.0266237	967	abletoconfide.baseline	downsample.SoftImpAll.50k	2	SoftImpAll	DS_50K	downsample.SoftImpAll.50k:2	0.00735661	0.0204178283203813
23	-	Base	0.4	0.000309017	0.00124715	0.000938134	-	-1850.11	581.205	0.00145779	93386	abletoconfide.baseline	downsample.SoftImpAll.50k	3	SoftImpAll	DS_50K	downsample.SoftImpAll.50k:3	0.00356861	0.086593099273947
24	-	Base	0.1	6.93939e-06	0.00120043	0.00119349	-	144.646	302.977	0.633068	37439	abletoconfide.baseline	downsample.SoftImpAll.50k	4	SoftImpAll	DS_50K	downsample.SoftImpAll.50k:4	0.00534109	0.00129924603404923
25	-	Base	0.001	4.16892e-05	0.000883012	0.000841323	-	-41.7623	35.7324	0.242512	956	abletoconfide.baseline	downsample.SoftImpAll.50k	5	SoftImpAll	DS_50K	downsample.SoftImpAll.50k:5	0.00621013	0.00671309618317169
26	-	Base	0.1	0.000441572	0.00203679	0.00159522	-	-1133.95	298.22	0.000143561	37385	abletoconfide.baseline	downsample.SoftImpAll.50k	6	SoftImpAll	DS_50K	downsample.SoftImpAll.50k:6	0.00584895	0.0754959437163935
27	-	Base	0.001	0.000194497	0.000903815	0.000709318	-	-89.4377	35.4401	0.0116196	933	abletoconfide.baseline	downsample.SoftImpAll.50k	7	SoftImpAll	DS_50K	downsample.SoftImpAll.50k:7	0.0052138	0.037304269438797
28	-	Base	0.1	0.000189072	0.00118613	0.000997058	-	-750.369	301.553	0.0128386	37392	abletoconfide.baseline	downsample.SoftImpAll.50k	8	SoftImpAll	DS_50K	downsample.SoftImpAll.50k:8	0.00186454	0.101404099670696
29	-	Base	0.3	0.000173829	0.00108134	0.000907514	-	-1206.55	505.625	0.0170267	79081	abletoconfide.baseline	downsample.SoftImpAll.50k	9	SoftImpAll	DS_50K	downsample.SoftImpAll.50k:9	0.00810275	0.0214530869149363
30	-	Base	0.05	0.00028411	0.001574	0.00128989	-	-667.032	218.532	0.00227256	22451	abletoconfide.baseline	downsample.SoftImpAll.50k	10	SoftImpAll	DS_50K	downsample.SoftImpAll.50k:10	0.00422362	0.0672669416282715
31	-	Base	0.05	0.00019837	0.00088171	0.00068334	-	-770.664	302.423	0.0108295	23433	abletoconfide.baseline	downsample.SoftImpAll.100k	1	SoftImpAll	DS_100K	downsample.SoftImpAll.100k:1	0.00901349	0.0220081233795123
32	-	Base	0.3	0.000432456	0.00138528	0.000952827	-	-2615.26	695.092	0.000168539	79252	abletoconfide.baseline	downsample.SoftImpAll.100k	2	SoftImpAll	DS_100K	downsample.SoftImpAll.100k:2	0.00796387	0.0543022425027028
33	-	Base	0.2	0.0005459	0.00148403	0.000938134	-	-2418.01	571.444	2.32865e-05	61480	abletoconfide.baseline	downsample.SoftImpAll.100k	3	SoftImpAll	DS_100K	downsample.SoftImpAll.100k:3	0.00569231	0.0959013124724409
34	-	Base	0.5	0.000628226	0.00182171	0.00119349	-	-4026.64	886.159	5.54147e-06	105608	abletoconfide.baseline	downsample.SoftImpAll.100k	4	SoftImpAll	DS_100K	downsample.SoftImpAll.100k:4	0.00812842	0.077287590946334
35	-	Base	0.3	0.000458222	0.00129954	0.000841323	-	-2683.4	692.382	0.000106566	79354	abletoconfide.baseline	downsample.SoftImpAll.100k	5	SoftImpAll	DS_100K	downsample.SoftImpAll.100k:5	0.00760433	0.0602580371972284
36	-	Base	0.5	0.000612032	0.00220725	0.00159522	-	-3949.34	882.15	7.59754e-06	105517	abletoconfide.baseline	downsample.SoftImpAll.100k	6	SoftImpAll	DS_100K	downsample.SoftImpAll.100k:6	0.0137761	0.0444270874921059
37	-	Base	0.2	0.000502192	0.00121151	0.000709318	-	-2328.76	574.187	5.00882e-05	61395	abletoconfide.baseline	downsample.SoftImpAll.100k	7	SoftImpAll	DS_100K	downsample.SoftImpAll.100k:7	0.0116107	0.0432525170747672
38	-	Base	0.1	0.000400559	0.00139762	0.000997058	-	-1503.66	415.119	0.000292502	38428	abletoconfide.baseline	downsample.SoftImpAll.100k	8	SoftImpAll	DS_100K	downsample.SoftImpAll.100k:8	0.00962161	0.0416311823073269
39	-	Base	0.3	0.000174683	0.0010822	0.000907514	-	-1650.13	689.822	0.0167578	79094	abletoconfide.baseline	downsample.SoftImpAll.100k	9	SoftImpAll	DS_100K	downsample.SoftImpAll.100k:9	0.0110185	0.0158536098379997
40	-	Base	0.4	0.00028204	0.00157193	0.00128989	-	-2398.22	788.581	0.00235833	93797	abletoconfide.baseline	downsample.SoftImpAll.100k	10	SoftImpAll	DS_100K	downsample.SoftImpAll.100k:10	0.00643038	0.0438605494543091
41	-	Base	0.01115	0.000238313	0.000921653	0.00068334	-	381.697	136.654	0.00522275	9876	abletoconfide.baseline	GPpsy	1	GPpsy	Full	GPpsy:1	0.0120177	0.0198301671700908
42	-	Base	0.00015005	0.000284854	0.00123768	0.000952827	-	64.6921	21.1871	0.00226463	668	abletoconfide.baseline	GPpsy	2	GPpsy	Full	GPpsy:2	0.0120744	0.0235915656264493
43	-	Base	0.0279001	0.000556287	0.00149442	0.000938134	-	851.225	199.28	1.94714e-05	18152	abletoconfide.baseline	GPpsy	3	GPpsy	Full	GPpsy:3	0.0125524	0.0443171823714987
44	-	Base	0.34135	0.000187801	0.00138129	0.00119349	-	1502.66	604.974	0.013002	87586	abletoconfide.baseline	GPpsy	4	GPpsy	Full	GPpsy:4	0.0265592	0.00707103376607729
45	-	Base	0.1037	0.000344271	0.00118559	0.000841323	-	1170.97	348.593	0.000782768	42975	abletoconfide.baseline	GPpsy	5	GPpsy	Full	GPpsy:5	0.0135987	0.0253164640737718
46	-	Base	0.3982	0.000449241	0.00204446	0.00159522	-	2467.15	643.276	0.000125651	95328	abletoconfide.baseline	GPpsy	6	GPpsy	Full	GPpsy:6	0.0174473	0.0257484539155056
47	-	Base	0.0541501	0.000637556	0.00134687	0.000709318	-	1215.96	266.069	4.89285e-06	28112	abletoconfide.baseline	GPpsy	7	GPpsy	Full	GPpsy:7	0.0148782	0.0428516890484064
48	-	Base	0.00430005	0.000830879	0.00182794	0.000997058	-	489.652	93.8386	1.81938e-07	5357	abletoconfide.baseline	GPpsy	8	GPpsy	Full	GPpsy:8	0.0182412	0.0455495800714865
49	-	Base	0.0750501	0.000140705	0.00104822	0.000907514	-	646.438	301.109	0.0318121	34641	abletoconfide.baseline	GPpsy	9	GPpsy	Full	GPpsy:9	0.0218043	0.00645308494196099
50	-	Base	0.18305	0.000173708	0.0014636	0.00128989	-	1076.24	450.957	0.0170122	60990	abletoconfide.baseline	GPpsy	10	GPpsy	Full	GPpsy:10	0.0102252	0.0169882251691898
51	-	Base	0.1247	0.000591352	0.00127469	0.00068334	-	-3466.43	787.703	1.08251e-05	48287	abletoconfide.baseline	SoftImpAll	1	SoftImpAll	Full	SoftImpAll:1	0.0192257	0.0307584119173814
52	-	Base	0.00655005	0.000543828	0.00149665	0.000952827	-	-970.048	229.899	2.45549e-05	7210	abletoconfide.baseline	SoftImpAll	2	SoftImpAll	Full	SoftImpAll:2	0.0131862	0.041242207762661
53	-	Base	0.12625	0.00109795	0.00203608	0.000938134	-	-4788.07	797.666	1.96222e-09	48654	abletoconfide.baseline	SoftImpAll	3	SoftImpAll	Full	SoftImpAll:3	0.0198883	0.0552058245300001
54	-	Base	0.1624	0.00103675	0.00223024	0.00119349	-	-5171.49	885.76	5.31755e-09	56848	abletoconfide.baseline	SoftImpAll	4	SoftImpAll	Full	SoftImpAll:4	0.0262762	0.0394558573918603
55	-	Base	1	0.000679548	0.00152087	0.000841323	-	-8793.4	1862.93	2.36591e-06	138310	abletoconfide.baseline	SoftImpAll	5	SoftImpAll	Full	SoftImpAll:5	0.0189362	0.0358861862464486
56	-	Base	0.0128501	0.00143845	0.00303367	0.00159522	-	-2063.53	300.531	6.70727e-12	11058	abletoconfide.baseline	SoftImpAll	6	SoftImpAll	Full	SoftImpAll:6	0.0262105	0.0548806775910418
57	-	Base	0.00890005	0.00112166	0.00183097	0.000709318	-	-1549.51	255.559	1.34904e-09	8686	abletoconfide.baseline	SoftImpAll	7	SoftImpAll	Full	SoftImpAll:7	0.0207042	0.0541754813033104
58	-	Base	0.0303001	0.000774858	0.00177192	0.000997058	-	-2176.4	431.918	4.70684e-07	19447	abletoconfide.baseline	SoftImpAll	8	SoftImpAll	Full	SoftImpAll:8	0.0209413	0.0370014278005663
59	-	Base	0.3045	0.000213619	0.00112113	0.000907514	-	-3096.75	1170.64	0.00816448	82629	abletoconfide.baseline	SoftImpAll	9	SoftImpAll	Full	SoftImpAll:9	0.0256384	0.00833199419620569
60	-	Base	0.23925	0.000425253	0.00171514	0.00128989	-	-3935.99	1053.93	0.000188343	72103	abletoconfide.baseline	SoftImpAll	10	SoftImpAll	Full	SoftImpAll:10	0.0226621	0.0187649423486791
61	-	Base	0.001	8.48781e-05	0.001956	0.00187112	-	-86.7543	53.5115	0.104979	935	agefirstsex.baseline	downsample.GPpsy.50k	1	GPpsy	DS_50K	downsample.GPpsy.50k:1	0.000751992	0.112871014585262
62	-	Base	0.4	0.00034959	0.00237901	0.00202942	-	-2778.36	842.533	0.000976156	93716	agefirstsex.baseline	downsample.GPpsy.50k	2	GPpsy	DS_50K	downsample.GPpsy.50k:2	0.0053728	0.0650666319237641
63	-	Base	0.05	9.49223e-05	0.00159214	0.00149722	-	-558.136	325.398	0.0863109	22772	agefirstsex.baseline	downsample.GPpsy.50k	3	GPpsy	DS_50K	downsample.GPpsy.50k:3	0.00348236	0.0272580376526264
64	-	Base	1	2.65172e-05	0.00120218	0.00117567	-	-1107.83	1222.53	0.364847	138747	agefirstsex.baseline	downsample.GPpsy.50k	4	GPpsy	DS_50K	downsample.GPpsy.50k:4	0.00706205	0.00375488703705015
65	-	Base	0.2	0.000167118	0.0013825	0.00121538	-	-1405.71	618.034	0.0229439	61313	agefirstsex.baseline	downsample.GPpsy.50k	5	GPpsy	DS_50K	downsample.GPpsy.50k:5	0.00431543	0.0387256889811676
66	-	Base	0.5	0.000101417	0.00236343	0.00226201	-	-1662.46	937.154	0.0760817	105345	agefirstsex.baseline	downsample.GPpsy.50k	6	GPpsy	DS_50K	downsample.GPpsy.50k:6	0.00164078	0.0618102365947903
67	-	Base	0.4	5.32274e-05	0.00155857	0.00150534	-	-1101.99	857.767	0.198901	93908	agefirstsex.baseline	downsample.GPpsy.50k	7	GPpsy	DS_50K	downsample.GPpsy.50k:7	0.00300662	0.0177034011614371
68	-	Base	1	0.000331382	0.00167873	0.00134735	-	-3882.15	1209.92	0.0013352	138597	agefirstsex.baseline	downsample.GPpsy.50k	8	GPpsy	DS_50K	downsample.GPpsy.50k:8	0.00310125	0.10685433293027
69	-	Base	0.1	0.000152574	0.00216785	0.00201528	-	-965.352	443.727	0.0295961	37738	agefirstsex.baseline	downsample.GPpsy.50k	9	GPpsy	DS_50K	downsample.GPpsy.50k:9	0.00773977	0.0197129888872667
70	-	Base	1	0.000250246	0.00166561	0.00141537	-	-3418.16	1226.97	0.00534179	138615	agefirstsex.baseline	downsample.GPpsy.50k	10	GPpsy	DS_50K	downsample.GPpsy.50k:10	0.00127153	0.196806996295801
71	-	Base	0.1	0.000181127	0.00205225	0.00187112	-	-1493.39	630.544	0.0178701	38883	agefirstsex.baseline	downsample.GPpsy.100k	1	GPpsy	DS_100K	downsample.GPpsy.100k:1	0.00424595	0.0426587689445236
72	-	Base	1	0.000195614	0.00222504	0.00202942	-	-4104.61	1664.12	0.0136479	138489	agefirstsex.baseline	downsample.GPpsy.100k	2	GPpsy	DS_100K	downsample.GPpsy.100k:2	0.00405109	0.0482867573912206
73	-	Base	1	0.000250623	0.00174784	0.00149722	-	-4781.06	1715.3	0.00531796	138686	agefirstsex.baseline	downsample.GPpsy.100k	3	GPpsy	DS_100K	downsample.GPpsy.100k:3	0.00732879	0.0341970502634132
74	-	Base	0.001	0.000121315	0.00129698	0.00117567	-	-154.067	79.4843	0.0525914	1097	agefirstsex.baseline	downsample.GPpsy.100k	4	GPpsy	DS_100K	downsample.GPpsy.100k:4	0.0137051	0.00885181428811172
75	-	Base	0.05	6.79102e-05	0.00128329	0.00121538	-	-670.802	462.676	0.147116	23825	agefirstsex.baseline	downsample.GPpsy.100k	5	GPpsy	DS_100K	downsample.GPpsy.100k:5	0.00409426	0.0165866847733168
76	-	Base	0.3	0.000178128	0.00244014	0.00226201	-	-2411.92	1025.87	0.0187248	79555	agefirstsex.baseline	downsample.GPpsy.100k	6	GPpsy	DS_100K	downsample.GPpsy.100k:6	0.00534022	0.0333559291564767
77	-	Base	0.1	0.000212994	0.00171834	0.00150534	-	-1604.75	624.381	0.0101703	38675	agefirstsex.baseline	downsample.GPpsy.100k	7	GPpsy	DS_100K	downsample.GPpsy.100k:7	0.00665526	0.0320038586020681
78	-	Base	1	0.000409987	0.00175734	0.00134735	-	-6021.98	1687.28	0.000358817	138602	agefirstsex.baseline	downsample.GPpsy.100k	8	GPpsy	DS_100K	downsample.GPpsy.100k:8	0.00896162	0.045749206058726
79	-	Base	0.05	0.000440708	0.00245599	0.00201528	-	-1710.51	462.548	0.000217673	23644	agefirstsex.baseline	downsample.GPpsy.100k	9	GPpsy	DS_100K	downsample.GPpsy.100k:9	0.010661	0.0413383359909952
80	-	Base	0.5	0.000321503	0.00173687	0.00141537	-	-4134.07	1309.16	0.00159119	105595	agefirstsex.baseline	downsample.GPpsy.100k	10	GPpsy	DS_100K	downsample.GPpsy.100k:10	0.00491321	0.0654364458266591
81	-	Base	1	0.00040637	0.00227749	0.00187112	-	-9358.27	2637.66	0.000388816	138735	agefirstsex.baseline	downsample.SoftImpAll.50k	1	SoftImpAll	DS_50K	downsample.SoftImpAll.50k:1	0.00394024	0.103133311676446
82	-	Base	1	0.000625408	0.00265483	0.00202942	-	-11308.3	2563.5	1.03111e-05	138667	agefirstsex.baseline	downsample.SoftImpAll.50k	2	SoftImpAll	DS_50K	downsample.SoftImpAll.50k:2	0.00735661	0.0850130698786533
83	-	Base	0.001	0.000406537	0.00190375	0.00149722	-	-392.252	110.486	0.000385431	930	agefirstsex.baseline	downsample.SoftImpAll.50k	3	SoftImpAll	DS_50K	downsample.SoftImpAll.50k:3	0.00356861	0.113920265873828
84	-	Base	0.4	0.000394356	0.00157002	0.00117567	-	-6331.78	1811.55	0.000474323	93430	agefirstsex.baseline	downsample.SoftImpAll.50k	4	SoftImpAll	DS_50K	downsample.SoftImpAll.50k:4	0.00534109	0.0738343671422874
85	-	Base	0.2	0.000401338	0.00161672	0.00121538	-	-4601.6	1305.36	0.00042386	60901	agefirstsex.baseline	downsample.SoftImpAll.50k	5	SoftImpAll	DS_50K	downsample.SoftImpAll.50k:5	0.00621013	0.0646263443760437
86	-	Base	0.2	0.000631496	0.00289351	0.00226201	-	-5649.9	1276.01	9.55299e-06	60450	agefirstsex.baseline	downsample.SoftImpAll.50k	6	SoftImpAll	DS_50K	downsample.SoftImpAll.50k:6	0.00584895	0.107967412954462
87	-	Base	0.4	0.000192676	0.00169802	0.00150534	-	-4430.74	1812.56	0.0145123	93291	agefirstsex.baseline	downsample.SoftImpAll.50k	7	SoftImpAll	DS_50K	downsample.SoftImpAll.50k:7	0.0052138	0.0369550040277725
88	-	Base	1	0.00022922	0.00157657	0.00134735	-	-6913.69	2590.93	0.00762483	138574	agefirstsex.baseline	downsample.SoftImpAll.50k	8	SoftImpAll	DS_50K	downsample.SoftImpAll.50k:8	0.00186454	0.122936488356377
89	-	Base	0.2	5.97577e-05	0.00207503	0.00201528	-	-1777.96	1305.92	0.173377	60826	agefirstsex.baseline	downsample.SoftImpAll.50k	9	SoftImpAll	DS_50K	downsample.SoftImpAll.50k:9	0.00810275	0.00737498997254019
90	-	Base	0.05	0.000263217	0.00167859	0.00141537	-	-1949.87	682.448	0.00427722	22451	agefirstsex.baseline	downsample.SoftImpAll.50k	10	SoftImpAll	DS_50K	downsample.SoftImpAll.50k:10	0.00422362	0.062320237142546
91	-	Base	0.4	0.000584606	0.00245573	0.00187112	-	-10535.7	2475.57	2.08862e-05	93688	agefirstsex.baseline	downsample.SoftImpAll.100k	1	SoftImpAll	DS_100K	downsample.SoftImpAll.100k:1	0.00901349	0.0648590057791155
92	-	Base	0.1	0.000226101	0.00225553	0.00202942	-	-3397.84	1281.31	0.00800959	38278	agefirstsex.baseline	downsample.SoftImpAll.100k	2	SoftImpAll	DS_100K	downsample.SoftImpAll.100k:2	0.00796387	0.0283908451544287
93	-	Base	0.05	0.000548397	0.00204561	0.00149722	-	-3934.77	954.183	3.73801e-05	23645	agefirstsex.baseline	downsample.SoftImpAll.100k	3	SoftImpAll	DS_100K	downsample.SoftImpAll.100k:3	0.00569231	0.0963399744567671
94	-	Base	1	0.000354977	0.00153064	0.00117567	-	-11792.8	3556.28	0.000913999	138721	agefirstsex.baseline	downsample.SoftImpAll.100k	4	SoftImpAll	DS_100K	downsample.SoftImpAll.100k:4	0.00812842	0.0436710947515015
95	-	Base	0.2	0.000411804	0.00162719	0.00121538	-	-6414.87	1796.46	0.000356387	61379	agefirstsex.baseline	downsample.SoftImpAll.100k	5	SoftImpAll	DS_100K	downsample.SoftImpAll.100k:5	0.00760433	0.0541538833796008
96	-	Base	0.4	0.000358215	0.00262023	0.00226201	-	-8239.35	2471.04	0.000855924	93671	agefirstsex.baseline	downsample.SoftImpAll.100k	6	SoftImpAll	DS_100K	downsample.SoftImpAll.100k:6	0.0137761	0.0260026422572426
97	-	Base	0.05	0.000543381	0.00204873	0.00150534	-	-3930.95	957.412	4.03946e-05	23528	agefirstsex.baseline	downsample.SoftImpAll.100k	7	SoftImpAll	DS_100K	downsample.SoftImpAll.100k:7	0.0116107	0.0468000206705883
98	-	Base	0.05	0.000273459	0.00162081	0.00134735	-	-2749.9	943.48	0.00356361	23372	agefirstsex.baseline	downsample.SoftImpAll.100k	8	SoftImpAll	DS_100K	downsample.SoftImpAll.100k:8	0.00962161	0.0284213348909382
99	-	Base	0.001	0.000298516	0.00231379	0.00201528	-	-479.506	157.561	0.00234192	1146	agefirstsex.baseline	downsample.SoftImpAll.100k	9	SoftImpAll	DS_100K	downsample.SoftImpAll.100k:9	0.0110185	0.0270922539365612
100	-	Base	0.3	0.000337039	0.00175241	0.00141537	-	-6958.4	2152.16	0.00122531	79391	agefirstsex.baseline	downsample.SoftImpAll.100k	10	SoftImpAll	DS_100K	downsample.SoftImpAll.100k:10	0.00643038	0.0524135432120652
101	-	Base	0.31885	0.00101757	0.0028887	0.00187112	-	10263.3	1827.49	1.97028e-08	84722	agefirstsex.baseline	GPpsy	1	GPpsy	Full	GPpsy:1	0.0120177	0.0846726079033426
102	-	Base	0.0342001	0.000526278	0.0025557	0.00202942	-	2753.64	680.517	5.2138e-05	20904	agefirstsex.baseline	GPpsy	2	GPpsy	Full	GPpsy:2	0.0120744	0.0435862651560326
103	-	Base	0.491	0.000606766	0.00210398	0.00149722	-	9540.82	2199.49	1.44411e-05	106049	agefirstsex.baseline	GPpsy	3	GPpsy	Full	GPpsy:3	0.0125524	0.048338644402664
104	-	Base	0.49665	0.000471426	0.00164709	0.00117567	-	8469.2	2216.09	0.000132802	106472	agefirstsex.baseline	GPpsy	4	GPpsy	Full	GPpsy:4	0.0265592	0.0177500075303473
105	-	Base	0.0861001	0.000244463	0.00145985	0.00121538	-	2787.36	1013.21	0.00594436	38105	agefirstsex.baseline	GPpsy	5	GPpsy	Full	GPpsy:5	0.0135987	0.0179769389721076
106	-	Base	0.42475	0.000775497	0.00303751	0.00226201	-	10052.6	2048.59	9.29114e-07	98544	agefirstsex.baseline	GPpsy	6	GPpsy	Full	GPpsy:6	0.0174473	0.0444479661609533
107	-	Base	0.0704001	0.000430749	0.00193609	0.00150534	-	3420.09	935.631	0.000257217	33324	agefirstsex.baseline	GPpsy	7	GPpsy	Full	GPpsy:7	0.0148782	0.0289516877041578
108	-	Base	0.0181501	0.000727504	0.00207485	0.00134735	-	2493.76	524.446	1.99292e-06	13731	agefirstsex.baseline	GPpsy	8	GPpsy	Full	GPpsy:8	0.0182412	0.0398824638729908
109	-	Base	0.0932501	0.000872067	0.00288734	0.00201528	-	5405.2	1038.84	1.97252e-07	39924	agefirstsex.baseline	GPpsy	9	GPpsy	Full	GPpsy:9	0.0218043	0.0399951844360975
110	-	Base	0.1669	0.000947209	0.00236258	0.00141537	-	7355.66	1356.66	5.94108e-08	57751	agefirstsex.baseline	GPpsy	10	GPpsy	Full	GPpsy:10	0.0102252	0.0926347650901694
111	-	Base	0.2367	0.00102637	0.0028975	0.00187112	-	-18627.6	3302.57	1.71206e-08	71415	agefirstsex.baseline	SoftImpAll	1	SoftImpAll	Full	SoftImpAll:1	0.0192257	0.0533853123683403
112	-	Base	0.119	0.00051307	0.00254249	0.00202942	-	-9589.88	2400.31	6.47704e-05	46954	agefirstsex.baseline	SoftImpAll	2	SoftImpAll	Full	SoftImpAll:2	0.0131862	0.0389096176305532
113	-	Base	0.44455	0.000975374	0.00247259	0.00149722	-	-24179.7	4395.75	3.81262e-08	100819	agefirstsex.baseline	SoftImpAll	3	SoftImpAll	Full	SoftImpAll:3	0.0198883	0.0490426029374054
114	-	Base	1	0.000841283	0.00201695	0.00117567	-	-29981	5871.48	3.30617e-07	138490	agefirstsex.baseline	SoftImpAll	4	SoftImpAll	Full	SoftImpAll:4	0.0262762	0.0320169202548314
115	-	Base	0.4331	0.000536227	0.00175161	0.00121538	-	-17589.9	4316.57	4.61331e-05	99754	agefirstsex.baseline	SoftImpAll	5	SoftImpAll	Full	SoftImpAll:5	0.0189362	0.0283175610734994
116	-	Base	0.1118	0.0012753	0.00353731	0.00226201	-	-14678.7	2332.05	3.12888e-10	44876	agefirstsex.baseline	SoftImpAll	6	SoftImpAll	Full	SoftImpAll:6	0.0262105	0.0486560729478644
117	-	Base	0.17775	0.000833817	0.00233916	0.00150534	-	-14785.1	2906.56	3.66286e-07	60196	agefirstsex.baseline	SoftImpAll	7	SoftImpAll	Full	SoftImpAll:7	0.0207042	0.0402728431912366
118	-	Base	0.2792	0.00085065	0.002198	0.00134735	-	-18013.3	3503.12	2.73357e-07	78713	agefirstsex.baseline	SoftImpAll	8	SoftImpAll	Full	SoftImpAll:8	0.0209413	0.040620687349878
119	-	Base	1	0.000391334	0.00240661	0.00201528	-	-20395.6	5853.05	0.000493516	138357	agefirstsex.baseline	SoftImpAll	9	SoftImpAll	Full	SoftImpAll:9	0.0256384	0.0152635889915127
